Position Bucket,Display Rank,Player,Team,Bye Week,Floor,Points,Ceiling,SD,Uncertainty,VOR,Drop Off,Tier,Age,ADP,AAV,Rank - Overall,Rank - Position,ECR,Injury Status,Points Spread,Experience
DL,67,Chop Robinson,MIA,6,38.4,48.7,62.1,12.8,62,-17.7,0.0778,3,23,,3.24,292,44,114,,23.7,2
DL,68,Patrick Jones,CAR,5,40.8,48.6,55.6,10.7,97,-17.8,0.0391,3,27,,,295,45,171,,14.8,5
DL,69,Jonah Laulu,LVR,13,35.5,48.5,60.4,18.1,84,-17.8,0.0626,3,26,,,298,46,,,24.9,2
DL,70,Jayson Oweh,WAS,7,39.1,48.5,63.4,14,46,-17.9,0.616,3,27,,1.54,299,47,46.6,Q,24.3,5
DL,71,Jayson Oweh,WAS,7,39.1,48.5,63.4,14,71,-17.9,0.616,3,27,,1.54,299,47,110,Q,24.3,5
DL,72,Jermaine Johnson,TEN,9,37.2,47.9,61.8,13.4,18,-18.5,0.0777,3,27,,6.46,304,48,42.8,,24.6,4
DL,73,Quinnen Williams,DAL,14,30.1,47.8,69,20.7,66,-18.6,0.034,3,28,,4.56,306,49,40.8,,38.9,7
DL,74,Micah Parsons,GB,11,34.3,47.8,58.1,12.4,14,-18.6,0.239,3,27,,11.3,307,50,30.1,O,23.8,5
DL,75,Micah Parsons,GB,11,34.3,47.8,58.1,12.4,90,-18.6,0.239,3,27,,11.3,307,50,99,O,23.8,5
DL,76,Alex Wright,CLE,11,33.5,47.5,60.5,14.1,32,-18.9,0.0217,3,25,,5.4,312,51,47,,27,4
DL,77,Jalyx Hunt,PHI,10,40.3,47.5,57,9.04,6,-18.9,0.0841,3,25,,,314,52,62.8,,16.7,2
DL,78,Jalyx Hunt,PHI,10,40.3,47.5,57,9.04,60,-18.9,0.0841,3,25,,,314,52,127,,16.7,2
DL,79,Abdul Carter,NYG,8,39.9,47.4,59.9,11.7,10,-19,0.123,3,22,,5.52,315,53,19,,20,1
DL,80,Abdul Carter,NYG,8,39.9,47.4,59.9,11.7,43,-19,0.123,3,22,,5.52,315,53,67.5,,20,1
DL,81,Bradley Chubb,BUF,7,37.2,47.3,60.6,12.7,17,-19.1,0.0784,3,30,,5.71,316,54,31.8,,23.4,8
DL,82,Bradley Chubb,BUF,7,37.2,47.3,60.6,12.7,57,-19.1,0.0784,3,30,,5.71,316,54,99.4,,23.4,8
DL,83,Malcolm Roach,DEN,10,27.8,47.2,64.9,26.9,99,-19.2,0.418,3,28,,,317,55,,,37.1,6
DL,84,Will McDonald,NYJ,13,40.2,46.8,54.1,7.3,98,-19.6,0.164,3,27,,2.09,321,56,100,,13.9,3
DL,85,Zach Harrison,ATL,11,31.2,46.6,66.8,19.3,69,-19.7,0.0667,3,25,,,324,57,66.3,,35.6,3
DL,86,Kobie Turner,LAR,11,38.8,46.6,58.7,11.4,11,-19.8,0.675,3,27,,,326,58,53.6,Q,19.9,3
DL,87,Milton Williams,NE,11,32,45.9,58.5,19.2,70,-20.5,0.0123,3,27,,,331,59,75.8,,26.5,5
DL,88,Khalil Mack,LAC,7,37.5,45.9,60.5,13.7,31,-20.5,0.191,3,35,,5.33,332,60,51.8,,23,12
DL,89,Khalil Mack,LAC,7,37.5,45.9,60.5,13.7,63,-20.5,0.191,3,35,,5.33,332,60,113,,23,12
LB,1,Jordyn Brooks,MIA,6,96.2,132,191,55.4,70,21,6.01,1,28,,14.4,61,1,1.31,Q,94.8,6
LB,2,Blake Cashman,MIN,6,87.3,126,193,62.8,92,14.9,6.1,1,30,,11.9,76,2,7.77,,105.7,7
